battle_id,pokemon1_id,pokemon1_name,pokemon1_types,pokemon1_hp,pokemon1_attack,pokemon1_defense,pokemon1_speed,pokemon1_legendary,trainer1_id,trainer1_name,trainer1_age,trainer1_city,pokemon2_id,pokemon2_name,pokemon2_types,pokemon2_hp,pokemon2_attack,pokemon2_defense,pokemon2_speed,pokemon2_legendary,trainer2_id,trainer2_name,trainer2_age,trainer2_city,winner_trainer_id,battle_status,last_update_ts
85,87,Dewgong,"Water,Ice",90,70,80,70,False,117,Erika Celadon,22,Celadon City,134,Vaporeon,water,130,65,60,65,False,105,May Maple,13,Petalburg City,,In-Battle,2024-05-07 23:54:15
93,16,Pidgey,"normal,flying",40,45,40,56,False,145,Steven Champion,35,Mossdeep City,101,Electrode,electric,60,50,70,140,False,143,Drake Dragon,45,Slateport City,,In-Battle,2024-05-07 11:48:47
123,116,Horsea,water,30,40,70,60,False,109,Lance Dragonite,21,Blackthorn City,10,Caterpie,Bug,45,30,35,45,False,137,Tate Psychic,12,Mossdeep City,,In-Battle,2024-05-07 07:57:08
191,33,Nidorino,poison,61,72,57,65,False,108,Steven Stone,25,Mossdeep City,69,Bellsprout,"Grass,Poison",50,75,35,40,False,143,Drake Dragon,45,Slateport City,,In-Battle,2024-05-07 14:34:10
308,39,Jigglypuff,"Normal,fairy",115,45,20,20,False,149,Lucian Psychic,28,Sunyshore City,84,Doduo,"normal,flying",35,85,45,75,False,140,Sidney Dark,24,Lilycove City,140,Completed,2024-05-07 19:36:46
317,12,Butterfree,"Bug,Flying",60,45,50,70,False,136,Winona Flying,28,Fortree City,74,Geodude,"rock,Ground",40,80,100,20,False,142,Glacia Ice,29,Mossdeep City,,In-Battle,2024-05-07 01:29:41
332,127,Pinsir,bug,65,125,100,85,False,133,Wattson Electric,35,Mauville City,125,Electabuzz,electric,65,83,57,105,False,146,Aaron Bug,19,Sandgem Town,,In-Battle,2024-05-07 19:31:24
348,10,Caterpie,bug,45,30,35,45,False,127,Jasmine Steel,19,Olivine City,118,Goldeen,water,45,67,60,63,False,115,Giovanni Rocket,35,Viridian City,,In-Battle,2024-05-07 06:44:07
358,40,Wigglytuff,"Normal,fairy",140,70,45,45,False,134,Flannery Fire,23,Lavaridge Town,62,Poliwrath,"Water,fighting",90,95,95,70,False,104,Gary Oak,16,Pallet Town,134,Completed,2024-05-07 14:18:34
377,141,Kabutops,"Rock,water",60,115,105,80,False,131,Roxanne Rock,17,Rustboro City,103,Exeggutor,"grass,psychic",95,95,85,55,False,108,Steven Stone,25,Mossdeep City,108,Completed,2024-05-07 09:45:24
453,145,Zapdos,"electric,Flying",90,90,85,100,True,105,May Maple,13,Petalburg City,65,Alakazam,Psychic,55,50,45,120,False,127,Jasmine Steel,19,Olivine City,105,Completed,2024-05-07 13:46:13
